Tabelle di saturazione di R134a

-,-,liquido saturo,-,vapore saturo,-,liquido saturo,-,vapore saturo,-,liquido saturo,-,vapore saturo,-,liquido saturo,-,vapore saturo
T (°C),P (MPa),vL (m^3/kg),vL-vv (m^3/kg),vv (m^3/kg),uL (kJ/kg),uv (kJ/kg),hL (kJ/kg),hL–hv (kJ/kg),hv (kJ/kg),sL (kJ/kgK),sL–sv (kJ/kgK),sv (kJ/kgK)
70,0.07645,268.7,295.4,1.048,70,0.06644,268.2,294.8,1.036,70,0.05243,267.2,293.4,1.015
80,0.07904,277.3,305,1.076,80,0.06875,276.9,304.4,1.063,80,0.05433,276,303.1,1.043
90,0.0816,286.1,314.6,1.103,90,0.07102,285.7,314.1,1.091,90,0.05621,284.8,312.9,1.07
100,0.08413,295.05,324.45,1.129,100,0.07327,294.6,323.9,1.117,100,0.05805,293.8,322.9,1.097
110,0.08666,304,334.3,1.155,110,0.07551,303.7,333.9,1.144,110,0.05988,303,332.9,1.124
120,0.08916,313.2,344.4,1.181,120,0.07772,312.9,344,1.17,120,0.06169,312.2,343.1,1.15
130,0.09165,322.5,354.6,1.207,130,0.07991,322.2,354.2,1.195,130,0.06348,321.6,353.4,1.176
140,0.09412,332,365,1.232,140,0.0821,331.7,364.6,1.221,140,0.06526,331.2,363.8,1.201
150,0.09659,341.7,375.5,1.257,150,0.08427,341.4,375.1,1.246,150,0.06702,340.8,374.4,1.226
160,0.09904,351.4,386.1,1.282,160,0.08643,351.2,385.7,1.271,160,0.06878,350.7,385.1,1.251
170,0.1015,361.4,396.9,1.307,170,0.08858,361.1,396.5,1.295,170,0.07052,360.6,395.9,1.276
180,0.1039,371.4,407.8,1.331,180,0.09072,371.2,407.5,1.32,180,0.07226,370.7,406.9,1.301
190,0.1063,381.6,418.9,1.355,190,0.09286,381.4,418.6,1.344,190,0.07398,381,418,1.325
200,0.1088,392,430.1,1.379,200,0.09499,391.8,429.8,1.368,200,0.07571,391.4,429.2,1.349



P= 0.60 [MPa]       Tsat= 21.57 [°C]                   P= 0.80 [MPa]       Tsat= 31.33 [°C]                   P= 1.0 [MPa]        Tsat= 39.39 [°C]
 T [°C]   v (m^3/kg) u [kJ/kg] h [kJ/kg] s [kJ/kgK]      T [°C]   v (m^3/kg) u [kJ/kg] h [kJ/kg] s [kJ/kgK]      T [°C]   v (m^3/kg) u [kJ/kg] h [kJ/kg] s [kJ/kgK]
-50,0.00069,-30.33,-29.91,-0.1288,-50,0.00069,-30.39,-29.84,-0.1291,-50,0.00069,-30.45,-29.76,-0.1293
-40,0.0007,-17.89,-17.46,-0.07423,-40,0.0007,-17.95,-17.39,-0.07451,-40,0.0007,-18.02,-17.31,-0.0748
-30,0.00072,-5.272,-4.84,-0.02122,-30,0.00072,-5.346,-4.771,-0.02152,-30,0.00072,-5.42,-4.701,-0.02183
-20,0.00074,7.532,7.973,0.03042,-20,0.00074,7.448,8.036,0.03009,-20,0.00073,7.365,8.1,0.02976
-10,0.00075,20.55,21,0.08088,-10,0.00075,20.45,21.05,0.08052,-10,0.00075,20.36,21.11,0.08016
0,0.00077,33.8,34.26,0.1303,0,0.00077,33.69,34.31,0.1299,0,0.00077,33.58,34.35,0.1296
10,0.00079,47.32,47.8,0.179,10,0.00079,47.2,47.83,0.1786,10,0.00079,47.07,47.87,0.1781
20,0.00082,61.17,61.66,0.2271,20,0.00082,61.02,61.68,0.2266,20,0.00081,60.88,61.69,0.2261
30,0.03598,231.6,253.2,0.8765,30,0.00084,75.24,75.91,0.2744,30,0.00084,75.06,75.91,0.2738
40,0.03787,240.2,262.9,0.9082,40,0.02704,237.2,258.8,0.8746,40,0.02041,233.6,254,0.8444
50,0.03966,248.8,272.6,0.9387,50,0.02855,246.2,269,0.9068,50,0.0218,243.3,265.1,0.8791
60,0.04139,257.5,282.3,0.9682,60,0.02997,255.2,279.1,0.9376,60,0.02307,252.7,275.7,0.9116
70,0.04307,266.2,292.1,0.9971,70,0.03134,264.1,289.2,0.9674,70,0.02426,261.9,286.2,0.9425
80,0.04471,275.1,301.9,1.025,80,0.03266,273.2,299.3,0.9964,80,0.0254,271.2,296.6,0.9724
90,0.04632,284,311.8,1.053,90,0.03394,282.3,309.4,1.025,90,0.02649,280.5,307,1.001
100,0.0479,293.1,321.8,1.08,100,0.03519,291.5,319.6,1.052,100,0.02755,289.8,317.4,1.03
110,0.04946,302.3,331.9,1.107,110,0.03642,300.8,329.9,1.08,110,0.02858,299.3,327.9,1.057
120,0.051,311.6,342.2,1.133,120,0.03763,310.2,340.3,1.106,120,0.02959,308.8,338.4,1.085
130,0.05252,321,352.5,1.159,130,0.03881,319.7,350.8,1.133,130,0.03058,318.4,349,1.111
140,0.05403,330.6,363,1.185,140,0.03999,329.4,361.4,1.159,140,0.03155,328.2,359.7,1.137
150,0.05552,340.3,373.6,1.21,150,0.04114,339.2,372.1,1.184,150,0.03251,338,370.6,1.163
160,0.05701,350.1,384.4,1.235,160,0.04229,349.1,382.9,1.21,160,0.03346,348,381.5,1.189
170,0.05848,360.1,395.2,1.26,170,0.04343,359.1,393.9,1.235,170,0.03439,358.1,392.5,1.214
180,0.05995,370.3,406.2,1.285,180,0.04455,369.3,405,1.259,180,0.03532,368.4,403.7,1.239
190,0.0614,380.5,417.4,1.309,190,0.04567,379.6,416.2,1.284,190,0.03623,378.7,415,1.264
200,0.06285,390.9,428.7,1.333,200,0.04679,390.1,427.5,1.308,200,0.03714,389.2,426.4,1.288



P= 1.5 [MPa]        Tsat= 55.23 [°C]                   P= 2.0 [MPa]        Tsat= 67.48 [°C]                   P= 2.5 [MPa]        Tsat= 77.58 [°C]
 T [°C]   v (m^3/kg) u [kJ/kg] h [kJ/kg] s [kJ/kgK]      T [°C]   v (m3/kg) u [kJ/kg] h [kJ/kg] s [kJ/kgK]      T [°C]   v (m3/kg) u [kJ/kg] h [kJ/kg] s [kJ/kgK]
-50,0.00069,-30.6,-29.56,-0.13,-50,0.00069,-30.74,-29.37,-0.1307,-50,0.00069,-30.89,-29.17,-0.1313
-40,0.0007,-18.18,-17.13,-0.07551,-40,0.0007,-18.35,-16.94,-0.07622,-40,0.0007,-18.51,-16.75,-0.07692
-30,0.00072,-5.604,-4.527,-0.02259,-30,0.00072,-5.786,-4.351,-0.02334,-30,0.00072,-5.967,-4.175,-0.02409
-20,0.00073,7.159,8.26,0.02894,-20,0.00073,6.955,8.421,0.02813,-20,0.00073,6.753,8.584,0.02733
-10,0.00075,20.12,21.25,0.07927,-10,0.00075,19.89,21.39,0.07839,-10,0.00075,19.67,21.54,0.07752
0,0.00077,33.32,34.47,0.1286,0,0.00077,33.06,34.59,0.1276,0,0.00077,32.8,34.72,0.1267
10,0.00079,46.77,47.95,0.1771,10,0.00079,46.47,48.05,0.176,10,0.00079,46.17,48.14,0.1749
20,0.00081,60.52,61.74,0.2249,20,0.00081,60.17,61.8,0.2237,20,0.00081,59.83,61.86,0.2225
30,0.00084,74.64,75.9,0.2724,30,0.00084,74.23,75.9,0.271,30,0.00083,73.82,75.91,0.2697
40,0.00087,89.21,90.51,0.3198,40,0.00087,88.71,90.44,0.3182,40,0.00086,88.22,90.38,0.3166
50,0.00091,104.4,105.7,0.3677,50,0.0009,103.7,105.5,0.3657,50,0.0009,103.1,105.4,0.3637
60,0.01361,245.1,265.5,0.8543,60,0.00095,119.6,121.4,0.4141,60,0.00094,118.8,121.1,0.4117
70,0.01466,255.6,277.6,0.8899,70,0.00957,247.1,266.2,0.8396,70,0.001,135.5,137.9,0.4615
80,0.01561,265.7,289.1,0.923,80,0.01054,258.9,280,0.879,80,0.00722,249.5,267.6,0.8314
90,0.01648,275.6,300.3,0.9543,90,0.01136,269.8,292.6,0.9142,90,0.00815,262.8,283.1,0.8749
100,0.01731,285.4,311.4,0.9844,100,0.0121,280.4,304.6,0.947,100,0.0089,274.6,296.8,0.9121
110,0.01809,295.3,322.4,1.014,110,0.01279,290.8,316.4,0.9781,110,0.00955,285.8,309.7,0.9461
120,0.01885,305.1,333.4,1.042,120,0.01344,301.1,328,1.008,120,0.01015,296.7,322.1,0.9781
130,0.01958,315,344.4,1.07,130,0.01405,311.4,339.5,1.037,130,0.0107,307.4,334.2,1.009
140,0.02029,325,355.5,1.097,140,0.01464,321.7,351,1.065,140,0.01123,318.1,346.2,1.038
150,0.02099,335.1,366.6,1.123,150,0.01521,332,362.4,1.092,150,0.01173,328.7,358.1,1.066
160,0.02167,345.3,377.8,1.149,160,0.01576,342.4,373.9,1.119,160,0.01221,339.4,369.9,1.094
170,0.02234,355.6,389.1,1.175,170,0.0163,352.9,385.5,1.146,170,0.01267,350.1,381.7,1.121
180,0.023,365.9,400.4,1.201,180,0.01683,363.4,397.1,1.171,180,0.01313,360.8,393.6,1.147
190,0.02365,376.4,411.9,1.226,190,0.01735,374.1,408.8,1.197,190,0.01357,371.6,405.5,1.173
200,0.02429,387.1,423.5,1.25,200,0.01786,384.8,420.5,1.222,200,0.014,382.5,417.5,1.199

